event,description,action,object_type,ocsf_category,event_action
Update Template,A template was updated.,update,template,3004,keep
Hide Template,A template was hidden.,hide,template,3004,keep
Unhide Template,A template was shown (after being hidden).,unhide,template,3004,keep
Delete Template,A template was deleted.,delete,template,3004,keep
Unknown Events,An unknown action occurred.,unknown,unknown,3004,keep
Upgrade User,A guest was promoted to a family or team member.,upguest,user,3001,keep
Change User State From,A user's state was changed.,verify,user,3001,keep
Change User State From,A user's state was changed.,join,user,3001,keep
Change User State From,A user's state was changed.,activate,user,3001,keep
Change User State From,A user's state was changed.,reactive,user,3001,keep
Change User State From,A user's state was changed.,suspend,user,3001,keep
Change User State From,A user's state was changed.,delete,user,3001,keep
Change User State From,A user's state was changed.,beginr,user,3001,keep
Begin User Recovery,A user recovery was initiated.,beginr,user,3001,keep
Complete User Recovery,A user recovery was completed.,completr,user,3001,keep
Cancel User Recovery,A user recovery was canceled.,cancelr,user,3001,keep
Mark User Away For Travel,A user was marked as away for travel.,trvlaway,user,3001,keep
Mark User Back From Travel,A user was marked as back from travel.,trvlback,user,3001,keep
Change User Keyset,A user's keyset changed.,changeks,user,3001,keep
Change 1Password Account Password,A user changed their 1Password account password.,changemp,user,3001,keep
Change Secret Key,A user changed their Secret Key.,changesk,user,3001,keep
Change Name,A user changed their name.,changenm,user,3001,keep
Change Language,A user changed their preferred language.,changela,user,3001,keep
Enroll Trusted Device,A user set up a trusted device to unlock with SSO.,tdvcsso,user,3001,keep
Set up Single Sign-On Authentication,A user set up their 1Password account to unlock with SSO.,sdvcsso,user,3001,keep
Migrating User Created,A user migration was started.,create,miguser,3001,keep
Migrating User Complete,A user migration was marked complete.,musercom,miguser,3001,keep
Migrating User Declined,A user migration was marked declined.,muserdec,miguser,3001,keep
Grant User Vault Access,A user was granted access to a vault.,grant,uva,3001,keep
Revoke User Vault Access,A user's access to a vault was revoked.,revoke,uva,3001,keep
Update User Vault Access,A user's vault access was updated.,update,uva,3001,keep
Create User Webauthn Credential,A passkey was created to sign in to 1Password.,create,cred,3001,keep
Delete User Webauthn Credential,A passkey used to sign in to 1Password was deleted.,delete,cred,3001,keep
Add Vault,A vault was added.,create,vault,3001,keep
Delete Vault,A vault was deleted.,delete,vault,3004,keep
Mark Vault To Be Purged,A vault was marked for purging.,purge,vault,3004,keep
Update Client Access,The client access value for a vault was updated.,update,vault,3004,keep
Update Attributes,A vault name or description was changed.,updatea,vault,3004,keep
Export Vault,A vault was exported.,export,vault,3004,keep
Add Verified Domain,A domain was verified.,vrfydmn,account,3004,keep
Update Verified Domain,A verified domain was updated.,uvrfydmn,account,3004,keep
Delete Verified Domain,A verified domain was removed.,dvrfydmn,account,3004,keep
